name,maternal_mortality,region,infant_mortality,life_expectancy
Albania,7,Europe,10.8,79.9
New Zealand,7,Australia and Oceania,3.3,82.9
Saudi Arabia,7,Middle East,11.4,77.2
Italy,6,Europe,3,83
Bosnia and Herzegovina,6,Europe,3.8,78.5
Montenegro,6,Europe,3.1,78.2
Austria,6,Europe,3.2,82.7
Bulgaria,6,Europe,7.5,76.1
Turkmenistan,5,Central Asia,35,72.4
Estonia,5,Europe,2,78.4
Greece,5,Europe,3.4,81.9
Switzerland,5,Europe,3,83.9
Monaco,5,Europe,1.7,89.8
Ireland,4,Europe,3.2,82
Qatar,4,Middle East,6.2,80.3
Netherlands,4,Europe,3.6,81.9
Belgium,4,Europe,3,82.3
Denmark,4,Europe,3.1,82.1
"Korea, South",4,East and Southeast Asia,2.2,83.4
Sweden,4,Europe,2.2,82.9
Slovakia,4,Europe,5,77.2
Germany,4,Europe,3,81.9
Japan,3,East and Southeast Asia,1.8,85.2
Spain,3,Europe,2.4,83
North Macedonia,3,Europe,6.8,77.3
Iceland,3,Europe,1.6,84
Czechia,3,Europe,2.5,78.6
Croatia,3,Europe,3.4,77.7
United Arab Emirates,3,Middle East,4.9,79.9
Slovenia,3,Europe,1.8,82.2
Australia,2,Australia and Oceania,3,83.5
Israel,2,Middle East,2.6,83.1
Poland,2,Europe,4.6,76.7
Belarus,1,Europe,2.1,74.7
Norway,1,Europe,1.8,82.9
